File name,221.100
Result analysis file name,221_bl.raf
Subject,221
Gender,
Age
Memo
Free comment 1,SubjectID,221
Free comment 2,Date,01/02/1970
Free comment 3
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

1_EEG,,,uV^2,uV^2,uV^2,uV^2,uV^2,,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,
EpochNo,Stage,Time,Delta,Theta,Alpha,Beta,Gamma,,0.000000Hz,0.488281Hz,0.976563Hz,1.464844Hz,1.953125Hz,2.441406Hz,2.929688Hz,3.417969Hz,3.906250Hz,4.394531Hz,4.882813Hz,5.371094Hz,5.859375Hz,6.347656Hz,6.835938Hz,7.324219Hz,7.812500Hz,8.300781Hz,8.789063Hz,9.277344Hz,9.765625Hz,10.253906Hz,10.742188Hz,11.230469Hz,11.718750Hz,12.207031Hz,12.695313Hz,13.183594Hz,13.671875Hz,14.160156Hz,14.648438Hz,15.136719Hz,15.625000Hz,16.113281Hz,16.601563Hz,17.089844Hz,17.578125Hz,18.066406Hz,18.554688Hz,19.042969Hz,19.531250Hz,
9,W,4/20/2017 19:00:36,1613.055593,509.739025,157.011730,226.835757,136.304500,,16.230413,222.996964,541.479248,124.562988,77.558945,113.707649,164.570389,224.926315,49.951164,79.884895,13.417035,155.493866,65.723694,39.712681,53.619846,37.371971,81.872459,41.806488,34.138020,30.300932,66.014931,37.402817,10.664727,6.960309,5.668015,1.774342,2.542027,4.413723,11.702511,21.502510,22.939457,26.001749,5.959049,11.453952,21.840738,17.261400,28.889744,23.016850,16.737978,4.192075,6.607651,
10,W,4/20/2017 19:00:40,1528.174631,542.166685,115.622334,203.642223,198.204417,,12.107689,121.654015,174.360153,212.080292,271.426819,135.903793,137.677429,321.195679,86.535469,14.425581,52.915401,132.948166,65.260246,100.598625,89.653839,40.730892,42.353096,44.587189,26.034632,20.760157,7.911582,8.113518,7.218079,35.947197,35.671803,22.346687,5.825823,8.913588,6.530644,5.194051,34.886192,31.499229,23.759352,10.383748,1.416894,8.531837,8.423458,7.439943,11.775597,5.534444,11.180737,
11,W,4/20/2017 19:00:44,1255.179428,1016.496927,304.318811,145.498726,215.886243,,64.906921,197.935593,265.421570,110.085312,133.213303,126.180542,36.109348,71.988602,34.056484,145.125626,135.063049,318.292908,266.583588,130.158234,68.515663,31.374338,4.605438,69.035812,127.930946,51.578716,68.103912,73.244049,54.684628,33.311729,23.395777,9.061307,3.160954,5.341570,9.500585,4.060791,5.256138,15.274713,11.542587,3.728529,3.307817,3.245709,1.899155,9.910692,23.207664,24.946140,12.054374,
12,W,4/20/2017 19:00:48,158062.495361,34441.657227,52195.773926,186005.016602,61739.554269,,35654.484375,89554.687500,24477.218750,12165.013672,6872.600098,6236.000977,6563.837402,4956.747559,2822.337891,2180.176025,2233.875488,2191.658691,2954.793945,4371.309082,6006.051270,5644.210938,4279.121582,4358.194336,4636.317383,5104.803223,6804.598633,8823.208984,10003.327148,10526.250000,10933.585938,12009.273438,13278.713867,14002.046875,14225.917969,13577.939453,12876.039063,13024.539063,12441.545898,13216.558594,13500.632813,11621.079102,10417.955078,9402.808594,8359.254883,7750.654297,6300.057617,
13,W,4/20/2017 19:00:52,7482.762695,1823.883034,500.426098,503.074145,241.738421,,114.263542,1236.390747,1012.570740,853.729858,950.338806,411.850464,297.856689,567.968872,462.645630,660.740112,1028.670776,642.773315,238.931320,155.855896,235.263046,162.655060,157.965607,155.060013,75.378777,71.881493,141.136810,125.672623,48.490929,56.585190,56.659054,29.655485,33.415749,92.292435,81.011169,56.563972,34.383945,31.560411,29.427414,17.734495,8.054273,13.396314,26.562035,24.603336,9.979448,6.665135,7.768528,
14,W,4/20/2017 19:00:56,238591.423828,146229.697266,66931.788086,58630.278442,27007.393618,,7292.940430,19446.039063,23217.042969,21322.109375,22752.312500,25650.875000,26144.556641,27517.404297,25111.111328,24053.814453,23376.158203,21211.505859,21950.703125,20230.632813,19380.447266,18357.562500,15562.606445,14906.275391,14629.963867,14408.323242,12606.176758,11328.698242,10537.479492,9552.471680,8498.638672,7796.982910,7064.541016,6470.367676,5799.735352,5062.138672,4278.124512,3747.968262,3443.698975,3023.693115,2459.958252,2112.800293,1891.655273,1645.939697,1416.119263,1214.683105,1201.872070,
15,W,4/20/2017 19:01:00,107296.471191,53976.016846,21297.777832,36716.355652,18140.187479,,265.909973,5020.303711,11177.487305,18813.701172,21993.363281,14597.971680,3818.121582,3699.088867,6910.233398,8632.825195,12633.375000,13825.621094,8636.136719,3360.837891,1021.603271,4404.046387,6252.418945,8039.090820,8436.261719,6683.534180,5242.108398,1642.151611,1637.923096,3020.555664,3071.504883,4562.489258,4045.480225,3444.582275,3005.942383,1213.398926,938.244812,2351.919189,2373.065186,3165.243896,2794.354248,1973.583984,1350.772949,620.337036,1103.499634,1638.312256,2135.129395,
16,W,4/20/2017 19:01:04,174047.080811,79333.588623,15278.414307,15839.501770,6385.453180,,386.425903,3068.506592,8171.100586,10518.143555,11915.396484,9305.677734,11377.121094,19754.650391,27609.386719,36334.414063,35992.683594,32094.015625,18205.142578,6962.117188,4338.415527,4937.209473,5805.176270,4610.326660,2381.185303,571.117065,1049.439819,2731.058105,4364.086426,3787.017578,2775.695313,1035.171631,229.703384,812.143433,1345.476074,1332.495239,774.986206,186.639465,606.618164,1711.800049,2289.402100,2217.760742,1502.493408,724.006958,241.490646,355.875427,473.438843,
17,W,4/20/2017 19:01:08,21330.182251,4763.035004,1193.530167,1502.928968,577.778764,,4089.928955,4225.980957,1839.406738,1637.683594,1414.583618,1930.321533,1980.864746,2290.669678,2482.416016,2093.500488,1434.754883,907.934448,718.181702,465.792053,540.613037,620.367920,433.796539,568.756714,507.592590,345.660492,244.879593,214.228928,169.898407,121.685989,97.176758,163.174988,131.157745,100.428146,24.861811,147.346909,73.992607,68.233124,57.952175,113.977341,84.005424,107.286095,109.509598,58.352261,126.134216,56.759525,79.757004,
18,W,4/20/2017 19:01:12,145359.483398,161964.662109,63685.641113,16193.706284,21635.396733,,2176.867188,20677.398438,34210.671875,22411.171875,20803.304688,13002.669922,9779.292969,5797.819336,4708.066406,5989.153320,7979.934570,13721.560547,16031.734375,21054.451172,20624.710938,22923.625000,22756.960938,23184.021484,21667.597656,19186.212891,15139.088867,11522.029297,8243.564453,5908.529297,3686.216309,2451.692383,1690.686523,1646.250122,1427.898438,1625.986206,1253.446777,1344.701172,865.862671,821.253845,446.214355,323.674622,237.651352,285.532440,415.256439,638.361511,719.237427,
