File name	00621.100
Result analysis file name	00621_baseline.raf
Subject	00621
Gender	
Age
Memo
Free comment 1	SubjectID	00621
Free comment 2	Date	01/02/1970
Free comment 3
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

1_EEG			uV^2	uV^2	uV^2	uV^2	uV^2		uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	
EpochNo	Stage	Time	Delta	Theta	Alpha	Beta	Gamma		0.000000Hz	0.488281Hz	0.976563Hz	1.464844Hz	1.953125Hz	2.441406Hz	2.929688Hz	3.417969Hz	3.906250Hz	4.394531Hz	4.882813Hz	5.371094Hz	5.859375Hz	6.347656Hz	6.835938Hz	7.324219Hz	7.812500Hz	8.300781Hz	8.789063Hz	9.277344Hz	9.765625Hz	10.253906Hz	10.742188Hz	11.230469Hz	11.718750Hz	12.207031Hz	12.695313Hz	13.183594Hz	13.671875Hz	14.160156Hz	14.648438Hz	15.136719Hz	15.625000Hz	16.113281Hz	16.601563Hz	17.089844Hz	17.578125Hz	18.066406Hz	18.554688Hz	19.042969Hz	19.531250Hz	
0	NR	12/22/2016 15:59:58	1014.583329	271.081162	84.434126	61.536941	1.491048		4.345872	25.015022	83.055817	274.366699	219.063110	110.029938	61.217270	32.502205	86.679314	116.075760	6.578195	55.345928	33.339806	15.829623	30.966391	30.810518	7.743155	40.924377	56.121365	29.251801	22.978195	18.999886	2.476956	5.087269	5.640020	5.858524	12.580907	5.370540	0.789325	5.107436	6.232900	6.522378	4.834781	4.063909	4.555008	2.341734	0.355526	0.165815	1.181758	0.965611	0.610790	
1	NR	12/22/2016 16:00:02	770.613692	358.894223	93.525659	61.660227	1.841843		6.320335	1.823999	41.453922	82.928619	153.280167	126.761658	163.829498	125.385071	13.301936	14.614378	47.234444	70.143463	62.577400	15.915315	13.049263	37.346027	34.239815	67.578651	58.044289	13.346721	26.807943	16.764851	9.446871	13.765594	13.393679	1.924563	5.230686	7.480904	7.378202	6.837092	4.511944	7.751629	4.595836	7.138301	2.214969	2.292521	1.391637	0.480251	1.210361	0.747899	0.473431	
2	NR	12/22/2016 16:00:06	1369.058619	174.799783	77.859356	64.201737	3.473382		5.760665	38.898438	104.239372	303.826050	338.848572	365.254150	128.133194	11.923649	34.932968	39.165253	3.836973	16.452934	14.841930	2.633814	29.527153	45.069626	32.976643	8.627244	24.670439	35.183403	21.750566	8.673430	7.656657	2.973973	1.621326	1.502558	4.156941	8.950413	9.423264	10.505192	2.754067	0.795156	4.717274	4.578955	3.094623	3.054312	3.440266	1.636885	2.530391	2.049283	1.012157	
3	NR	12/22/2016 16:00:10	1255.983250	352.169186	128.239083	65.865316	3.082698		0.412219	23.067745	140.330048	201.630890	90.668686	235.530884	163.091278	101.633926	53.410767	151.472961	95.146065	117.724098	94.825462	8.734387	31.874399	38.340019	22.663445	15.475553	22.531822	37.382008	22.735565	9.289817	18.165285	18.784550	21.881859	24.894947	10.965487	8.988860	5.452275	1.490907	0.269286	1.112301	3.564911	1.047961	1.234647	0.540173	0.385422	0.785416	1.745640	2.307372	1.079712	
4	NR	12/22/2016 16:00:14	1000.352982	244.405427	132.909023	80.298058	2.667243		6.072879	54.284966	116.296005	98.507889	94.478073	233.820496	175.595428	14.332008	54.110748	86.407967	72.519402	33.379139	59.189907	68.738960	12.997672	0.398524	10.951583	35.273880	23.475761	12.262335	32.686207	41.032562	16.387156	4.063951	26.476812	17.956303	10.515537	9.450579	2.861925	4.080634	6.180801	6.483015	5.529907	5.061941	3.045179	1.797009	2.375934	1.319097	1.009637	1.341573	1.288989	
5	NR	12/22/2016 16:00:18	1171.161512	322.771877	135.075377	129.297649	2.076198		11.727381	34.994019	17.286848	106.699051	85.555908	330.361877	352.175995	95.680145	43.207695	47.356121	57.843853	47.435661	18.515327	5.356948	10.382560	29.039343	68.018707	80.573143	63.450188	34.491028	6.273907	19.628574	37.482925	12.552059	24.646883	18.759136	17.880993	10.469928	15.003770	7.336751	15.588558	12.361574	7.295715	8.563970	4.168254	1.830696	1.302787	1.925145	4.917329	1.747626	0.145417	
6	NR	12/22/2016 16:00:22	669.504013	340.223988	67.448658	115.921754	1.994771		0.085293	9.815250	38.685493	150.240997	56.695671	104.750458	39.219769	67.375671	45.455505	76.977676	80.287521	37.831944	36.752186	85.691551	73.739426	55.001900	12.757879	14.617966	23.831137	20.523285	25.831923	10.344702	0.538315	5.047881	5.162552	8.806309	18.365669	3.682410	11.082717	23.019386	16.685759	5.807209	2.242832	2.300196	1.896942	3.611415	6.576612	3.294003	2.513289	3.052137	2.984868	
7	NR	12/22/2016 16:00:26	1038.228700	201.020802	55.050418	90.136757	1.097881		0.407757	5.925477	39.666077	94.697441	239.217499	119.135071	202.349091	116.082481	86.714012	65.209442	69.232109	47.297611	30.448435	18.927288	25.571337	36.667503	20.202602	8.459582	13.446444	3.216032	8.341398	28.676001	11.069568	1.891962	1.855458	7.275243	4.494787	5.124774	8.765649	23.259827	11.311734	9.429045	9.948338	2.996415	1.836709	2.458328	1.254997	0.466921	0.609538	0.831231	0.073222	
8	NR	12/22/2016 16:00:30	924.128767	317.787959	146.916021	107.598023	1.507215		2.636715	1.714924	40.458668	142.064468	213.877747	189.834198	34.302341	36.904045	4.216761	119.863144	140.892471	110.699326	27.305576	17.208935	8.243303	46.078102	73.664299	25.103418	9.485000	15.034026	15.336913	19.712727	26.829903	35.961136	34.041317	33.169403	26.241837	12.037405	3.486178	3.651507	5.288808	3.875171	7.106853	7.926063	2.313775	0.282530	0.723643	0.625170	0.156516	0.354231	0.358934	
