File name	0061.100
Result analysis file name	0061_baseline.raf
Subject	0061
Gender	
Age
Memo
Free comment 1	SubjectID	0061
Free comment 2	Date	01/02/1970
Free comment 3
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

1_EEG			uV^2	uV^2	uV^2	uV^2	uV^2		uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	
EpochNo	Stage	Time	Delta	Theta	Alpha	Beta	Gamma		0.000000Hz	0.488281Hz	0.976563Hz	1.464844Hz	1.953125Hz	2.441406Hz	2.929688Hz	3.417969Hz	3.906250Hz	4.394531Hz	4.882813Hz	5.371094Hz	5.859375Hz	6.347656Hz	6.835938Hz	7.324219Hz	7.812500Hz	8.300781Hz	8.789063Hz	9.277344Hz	9.765625Hz	10.253906Hz	10.742188Hz	11.230469Hz	11.718750Hz	12.207031Hz	12.695313Hz	13.183594Hz	13.671875Hz	14.160156Hz	14.648438Hz	15.136719Hz	15.625000Hz	16.113281Hz	16.601563Hz	17.089844Hz	17.578125Hz	18.066406Hz	18.554688Hz	19.042969Hz	19.531250Hz	
9	W	12/23/2016 16:00:36	1028.509252	20.014849	7.676650	7.009697	0.598750		218.457977	612.387451	319.529358	19.157421	20.332382	17.778255	6.913943	6.635897	9.262548	9.450556	7.061440	0.886206	2.459785	6.636590	3.271251	1.522338	1.635347	2.126844	1.476488	2.224433	1.234965	2.069026	0.175994	0.957407	1.014825	1.276516	1.486594	0.717370	0.527069	0.375470	0.450902	0.725356	0.427715	0.324030	0.192377	0.050227	0.165759	0.073727	0.061096	0.102228	0.053262	
10	W	12/23/2016 16:00:40	705.716152	37.316585	11.787387	7.364554	0.467357		24.985085	253.905731	253.278778	33.333618	14.184313	31.105881	19.726824	28.152475	18.315723	30.528307	23.184502	15.884948	5.602597	7.182738	2.799021	1.076390	1.513165	1.380047	1.877678	0.489223	0.796946	1.667121	3.253413	3.307359	2.273324	1.848515	1.401504	0.612020	0.223238	0.761636	0.581893	0.086687	0.577946	0.441321	0.196392	0.170916	0.151704	0.011445	0.057407	0.158629	0.083300	
11	W	12/23/2016 16:00:44	1324.637935	23.294264	17.957749	8.243033	0.452502		54.182098	571.347961	453.864441	175.829453	34.864624	7.125042	15.871180	20.092604	1.004675	14.973710	29.664246	6.084273	2.621153	6.216826	4.233715	0.751109	1.677495	1.166400	0.543292	1.661858	4.920229	4.836428	0.634888	2.344264	3.560082	1.691420	0.719142	1.292379	0.499718	0.105141	0.247048	1.030796	1.052259	0.788004	0.315861	0.114175	0.088918	0.152386	0.102348	0.017933	0.025504	
12	W	12/23/2016 16:00:48	98.133802	51.673393	8.517940	8.207027	0.425436		7.766458	12.835022	5.489673	8.268466	6.325817	4.281240	8.469272	11.461648	14.707221	13.078829	13.216614	19.027771	9.561288	2.227504	1.868514	2.910012	3.797791	7.988356	4.292158	0.679209	1.514864	2.254637	2.117743	1.035448	0.916038	1.714635	2.395144	0.855979	0.956791	0.546830	0.208462	0.043069	0.120476	0.058065	0.072540	0.169689	0.614303	0.343726	0.055747	0.012410	0.039162	
13	W	12/23/2016 16:00:52	240.122147	42.518442	12.867226	5.066642	0.349306		1.182741	11.693672	65.247162	86.588165	46.736050	12.642153	8.165586	1.834385	1.113165	2.951888	3.149920	3.901343	7.359879	4.521758	0.964701	5.559330	9.473247	8.273520	2.464665	1.280673	1.712431	1.469464	4.375697	3.499318	0.529641	0.319602	0.156756	0.227984	0.478188	0.588353	0.032724	0.749210	0.679630	0.222657	0.277040	0.238157	0.178740	0.183167	0.165708	0.341324	0.227404	
14	NR	12/23/2016 16:00:56	415.644989	40.462481	8.758102	4.464438	0.314771		135.336197	238.268219	11.912071	44.988770	36.716846	33.164944	6.890745	7.224650	8.259636	13.906610	14.312498	5.914804	6.770936	3.093677	2.029983	2.292748	2.642600	8.504431	9.213304	3.107824	1.233731	1.647616	2.103724	0.493942	0.171265	0.628245	0.299582	0.323641	0.361198	0.328690	0.356865	0.653232	0.303099	0.394250	0.318071	0.069588	0.099082	0.048339	0.059229	0.147115	0.074213	
15	W	12/23/2016 16:01:00	382.256901	20.292316	5.546469	5.353764	0.532633		49.754570	171.023529	151.784653	16.492754	8.199814	10.687901	9.636523	2.767865	5.129614	1.239785	5.294463	4.092695	5.505651	3.987042	1.569163	0.835238	2.084668	0.392359	1.825500	2.107101	2.464154	0.700415	0.104366	0.048150	0.122282	0.158473	0.720840	0.533383	0.110028	0.369525	0.533867	0.527158	0.579186	0.690851	0.278333	0.055139	0.343534	0.118666	0.056232	0.093731	0.184817	
16	W	12/23/2016 16:01:04	345.720160	19.164921	7.446632	5.688917	0.572387		55.590000	142.884918	97.354546	31.380785	5.833835	11.202493	9.834469	9.783007	16.032042	16.651844	4.762222	6.404031	1.007325	3.105537	3.865517	1.722409	1.157492	0.781836	1.120774	1.208477	0.716214	1.950711	1.859798	0.707939	1.003493	1.651417	0.337010	0.436458	1.217429	0.749179	0.283532	0.189169	0.182534	0.092089	0.134597	0.028294	0.027084	0.109462	0.120059	0.040221	0.090382	
17	W	12/23/2016 16:01:08	597.378405	32.697729	4.510883	5.359796	0.405651		2.807488	123.282013	206.574646	63.827496	66.325768	32.287518	51.140003	21.139746	7.802940	9.237234	15.761043	8.248312	3.106492	5.800442	5.922096	5.016892	1.644443	2.104897	0.854156	1.979491	0.963455	0.830186	0.210545	0.092248	0.434958	0.643609	1.092709	0.782538	0.287499	0.069005	0.191217	0.339284	0.599947	0.267212	0.182976	0.182005	0.185461	0.192670	0.228591	0.086520	0.028553	
18	W	12/23/2016 16:01:12	156.652691	31.798053	11.967529	6.152113	0.450821		0.283933	89.472908	15.231625	6.244896	9.021082	6.747665	10.097233	8.980678	7.224250	2.607100	1.025254	3.685579	10.922027	11.280689	4.117109	0.238562	0.646538	0.419310	0.488240	1.242036	3.998663	3.181741	2.069484	0.922804	0.552801	0.575120	0.471387	0.227985	0.968813	1.333186	0.328715	0.631431	0.297358	0.121077	0.010465	0.166789	0.372746	0.401730	0.102344	0.073590	0.069379	
